day,month,Open Date,Open Date,Open time,Open Date,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
24,apr,April ,April 24,1682294400000,4/24/2023 0:00:00,0.4648,0.4857,0.4469,0.4611,408426760,1682380799999,189723462.7,227559,219380921,101918723.9,0
25,apr,April ,April 25,1682380800000,4/25/2023 0:00:00,0.461,0.4723,0.4506,0.4695,377056298,1682467199999,173172942.8,167797,214418124,98458381.24,0
26,apr,April ,April 26,1682467200000,4/26/2023 0:00:00,0.4696,0.4831,0.4329,0.4618,551155391,1682553599999,256463436.6,280441,277180801,129067214.3,0
27,apr,April ,April 27,1682553600000,4/27/2023 0:00:00,0.4618,0.4699,0.4557,0.4667,345756985,1682639999999,159816336.8,166405,170265417,78665218.14,0
28,apr,April ,April 28,1682640000000,4/28/2023 0:00:00,0.4666,0.483,0.4637,0.4796,384917512,1682726399999,181922278.9,203480,218738540,103376510.7,0
29,apr,April ,April 29,1682726400000,4/29/2023 0:00:00,0.4795,0.4869,0.4709,0.478,175533507,1682812799999,84163263.92,122677,86163575,41316920.49,0
30,apr,April ,April 30,1682812800000,4/30/2023 0:00:00,0.4779,0.4819,0.4687,0.4705,143199211,1682899199999,68124656.71,91324,71983476,34241146.29,0
1,may,May ,May 1,1682899200000,5/1/2023 0:00:00,0.4705,0.4724,0.4544,0.4649,338231418,1682985599999,156703971.9,167097,193187591,89537279.02,0
2,may,May ,May 2,1682985600000,5/2/2023 0:00:00,0.4648,0.4662,0.4574,0.4645,330734355,1683071999999,152988821.9,164966,193531826,89527161.83,0
3,may,May ,May 3,1683072000000,5/3/2023 0:00:00,0.4644,0.4655,0.4497,0.4632,341232638,1683158399999,156013152.9,162057,170024695,77748172.6,0
4,may,May ,May 4,1683158400000,5/4/2023 0:00:00,0.4633,0.465,0.4547,0.4608,218212542,1683244799999,100405157.9,103839,104800374,48211996.92,0
5,may,May ,May 5,1683244800000,5/5/2023 0:00:00,0.4608,0.4706,0.4545,0.4671,292855620,1683331199999,135599010.6,160893,169635559,78543890.02,0
6,may,May ,May 6,1683331200000,5/6/2023 0:00:00,0.4671,0.4695,0.4512,0.4582,168649976,1683417599999,77457021.98,119808,83169782,38187411.74,0
7,may,May ,May 7,1683417600000,5/7/2023 0:00:00,0.4582,0.4601,0.4457,0.449,119401215,1683503999999,54412904.3,93375,58708515,26760564,0
8,may,May ,May 8,1683504000000,5/8/2023 0:00:00,0.4491,0.4512,0.41,0.4283,483055933,1683590399999,208516112,248533,260574568,112537710.5,0
9,may,May ,May 9,1683590400000,5/9/2023 0:00:00,0.4283,0.4308,0.4202,0.4289,331497882,1683676799999,140698488.1,145474,197912958,84006182.8,0
10,may,May ,May 10,1683676800000,5/10/2023 0:00:00,0.4289,0.434,0.4119,0.4303,334930240,1683763199999,142959031.4,178622,169496400,72345614.77,0
11,may,May ,May 11,1683763200000,5/11/2023 0:00:00,0.4303,0.4305,0.4114,0.4207,288769811,1683849599999,121888401.6,132230,137805383,58158833.4,0
12,may,May ,May 12,1683849600000,5/12/2023 0:00:00,0.4207,0.4446,0.4157,0.4305,408757650,1683935999999,174665763.1,243770,210588138,89981284.96,0
13,may,May ,May 13,1683936000000,5/13/2023 0:00:00,0.4305,0.4306,0.4227,0.424,102125283,1684022399999,43502508.72,64588,49640570,21146725.8,0
14,may,May ,May 14,1684022400000,5/14/2023 0:00:00,0.424,0.4317,0.421,0.4253,97517794,1684108799999,41556708.16,60061,52601438,22422149.42,0
15,may,May ,May 15,1684108800000,5/15/2023 0:00:00,0.4253,0.4304,0.4214,0.4273,263543031,1684195199999,112456043.1,124386,158293157,67552534.83,0
16,may,May ,May 16,1684195200000,5/16/2023 0:00:00,0.4273,0.443,0.4174,0.4425,357854908,1684281599999,152521020.9,160937,209342171,89175666,0
17,may,May ,May 17,1684281600000,5/17/2023 0:00:00,0.4426,0.4616,0.4375,0.4484,511331200,1684367999999,229071343.8,303334,266439406,119349365.2,0
18,may,May ,May 18,1684368000000,5/18/2023 0:00:00,0.4485,0.473,0.443,0.4596,420292099,1684454399999,192595312.6,286958,208407888,95500114.62,0
19,may,May ,May 19,1684454400000,5/19/2023 0:00:00,0.4597,0.4755,0.4573,0.4675,327924286,1684540799999,152613054.3,222000,184241465,85740879.84,0
20,may,May ,May 20,1684540800000,5/20/2023 0:00:00,0.4674,0.4719,0.4618,0.4685,133085427,1684627199999,62057504.82,103913,66548456,31033845.71,0
21,may,May ,May 21,1684627200000,5/21/2023 0:00:00,0.4685,0.4706,0.455,0.4575,152105849,1684713599999,70385641.08,103117,74842890,34626497.51,0
22,may,May ,May 22,1684713600000,5/22/2023 0:00:00,0.4574,0.4674,0.4496,0.4618,289989578,1684799999999,133114497.6,155907,168051252,77144550.02,0
23,may,May ,May 23,1684800000000,5/23/2023 0:00:00,0.4618,0.4672,0.4583,0.4651,270491006,1684886399999,125016933,125211,159997721,73941129.1,0
24,may,May ,May 24,1684886400000,5/24/2023 0:00:00,0.4651,0.4651,0.4457,0.453,334128026,1684972799999,151915102.1,156624,164644911,74827055.07,0
25,may,May ,May 25,1684972800000,5/25/2023 0:00:00,0.453,0.4551,0.4431,0.4538,190174437,1685059199999,85627895.25,102425,93900082,42279329.75,0
26,may,May ,May 26,1685059200000,5/26/2023 0:00:00,0.4538,0.4699,0.4524,0.4684,284645154,1685145599999,132032922.2,145800,163785848,75969540.66,0
27,may,May ,May 27,1685145600000,5/27/2023 0:00:00,0.4684,0.4792,0.4652,0.4714,178798933,1685231999999,84283690.67,123858,85960639,40522471.81,0
28,may,May ,May 28,1685232000000,5/28/2023 0:00:00,0.4714,0.4863,0.4699,0.482,166534206,1685318399999,79310781.48,109213,84625366,40300303.57,0
29,may,May ,May 29,1685318400000,5/29/2023 0:00:00,0.482,0.4954,0.4761,0.4946,328535756,1685404799999,158994730.9,193651,183345634,88706697.88,0
30,may,May ,May 30,1685404800000,5/30/2023 0:00:00,0.4946,0.5293,0.4893,0.5205,662891231,1685491199999,337412103.8,428094,361416168,183850739.1,0
31,may,May ,May 31,1685491200000,5/31/2023 0:00:00,0.5205,0.528,0.5009,0.5166,440917044,1685577599999,226321932.8,297874,222947424,114438129.7,0
1,jun,June ,June 1,1685577600000,6/1/2023 0:00:00,0.5167,0.5167,0.5014,0.5065,320782418,1685663999999,162638528.2,197787,170293802,86386467.46,0
2,jun,June ,June 2,1685664000000,6/2/2023 0:00:00,0.5065,0.5271,0.5033,0.5244,293048961,1685750399999,151414189.6,168266,163782927,84630227.66,0
3,jun,June ,June 3,1685750400000,6/3/2023 0:00:00,0.5245,0.534,0.5144,0.5188,172139129,1685836799999,89930000.9,119886,85366058,44602695.44,0
4,jun,June ,June 4,1685836800000,6/4/2023 0:00:00,0.5188,0.547,0.5151,0.5359,250235168,1685923199999,133246493.1,159074,131291892,69938934.99,0
5,jun,June ,June 5,1685923200000,6/5/2023 0:00:00,0.5359,0.5431,0.4867,0.509,616993814,1686009599999,319477652.5,430141,314269228,163020175.2,0
6,jun,June ,June 6,1686009600000,6/6/2023 0:00:00,0.5089,0.5328,0.4952,0.53,458413458,1686095999999,234690913.8,307055,242508753,124128459.9,0
7,jun,June ,June 7,1686096000000,6/7/2023 0:00:00,0.53,0.5384,0.507,0.5183,467474175,1686182399999,244889718.1,326396,235939314,123665271.5,0
8,jun,June ,June 8,1686182400000,6/8/2023 0:00:00,0.5183,0.5278,0.5156,0.5236,262982251,1686268799999,137027019.7,177957,131593138,68553433.21,0
9,jun,June ,June 9,1686268800000,6/9/2023 0:00:00,0.5237,0.5418,0.5205,0.538,352068623,1686355199999,187158472.5,236747,179338500,95329263.73,0
10,jun,June ,June 10,1686355200000,6/10/2023 0:00:00,0.538,0.5388,0.472,0.5067,609302319,1686441599999,304346642.2,492361,293296020,146470937.6,0
11,jun,June ,June 11,1686441600000,6/11/2023 0:00:00,0.5067,0.5293,0.5027,0.5208,221202480,1686527999999,113523633.2,164718,111715728,57337359.55,0
12,jun,June ,June 12,1686528000000,6/12/2023 0:00:00,0.5209,0.528,0.5086,0.5251,356547544,1686614399999,184693488.6,234513,193429811,100191887,0
13,jun,June ,June 13,1686614400000,6/13/2023 0:00:00,0.5251,0.5658,0.5054,0.5192,771631184,1686700799999,411364100.8,559433,397475690,211722384.5,0
14,jun,June ,June 14,1686700800000,6/14/2023 0:00:00,0.5193,0.5205,0.461,0.4801,544396397,1686787199999,270686306.4,340474,271736762,135176345.5,0
15,jun,June ,June 15,1686787200000,6/15/2023 0:00:00,0.4802,0.4858,0.4663,0.4801,337742736,1686873599999,161264378.6,202319,170047109,81203505.21,0
16,jun,June ,June 16,1686873600000,6/16/2023 0:00:00,0.4801,0.4833,0.4558,0.4759,376661662,1686959999999,177084797.9,223245,202226513,95103017.31,0
17,jun,June ,June 17,1686960000000,6/17/2023 0:00:00,0.4758,0.4869,0.4694,0.4794,189579671,1687046399999,90724364.3,114551,93331001,44666208.36,0
